date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-10,Saudi Arabia,Senegal,0,0,Friendly,,,TRUE
2026-06-10,Argentina,Iceland,3,0,Friendly,,,TRUE
2026-06-09,Peru,Spain,1,3,Friendly,,,TRUE
2026-06-09,DR Congo,Chile,1,2,Friendly,,,TRUE
2026-06-08,Colombia,Jordan,2,0,Friendly,,,TRUE
2026-06-08,Netherlands,Uzbekistan,2,1,Friendly,,,TRUE
2026-06-08,France,Northern Ireland,3,1,Friendly,,,TRUE
2026-06-07,Curaçao,Aruba,4,0,Friendly,,,TRUE
2026-06-07,Argentina,Honduras,2,0,Friendly,,,TRUE
2026-06-07,Croatia,Slovenia,2,1,Friendly,,,TRUE
2026-06-07,Morocco,Norway,1,1,Friendly,,,TRUE
2026-06-07,Ecuador,Guatemala,3,0,Friendly,,,TRUE
2026-06-06,Canada,Republic of Ireland,1,1,Friendly,,,TRUE
2026-06-06,Haiti,Peru,2,1,Friendly,,,TRUE
2026-06-06,Belgium,Tunisia,5,0,Friendly,,,TRUE
2026-06-06,Portugal,Chile,2,1,Friendly,,,TRUE
2026-06-06,United States,Germany,1,2,Friendly,,,TRUE
2026-06-06,Australia,Switzerland,1,1,Friendly,,,TRUE
2026-06-06,Panama,Bosnia and Herzegovina,1,1,Friendly,,,TRUE
2026-06-06,Scotland,Bolivia,4,0,Friendly,,,TRUE
2026-06-06,England,New Zealand,1,0,Friendly,,,TRUE
2026-06-06,El Salvador,Qatar,0,0,Friendly,,,TRUE
2026-06-06,Brazil,Egypt,2,1,Friendly,,,TRUE
2026-06-06,Venezuela,Turkey,1,2,Friendly,,,TRUE
2026-06-05,Guatemala,Czech Republic,1,3,Friendly,,,TRUE
2026-06-05,Mexico,Serbia,5,1,Friendly,,,TRUE
2026-06-05,Paraguay,Nicaragua,4,0,Friendly,,,TRUE
2026-06-04,Panama,Dominican Republic,4,2,Friendly,,,TRUE
2026-06-04,South Korea,El Salvador,1,0,Friendly,,,TRUE
2026-06-04,Spain,Iraq,1,1,Friendly,,,TRUE
2026-06-04,Sweden,Greece,2,2,Friendly,,,TRUE
2026-06-04,France,Ivory Coast,1,2,Friendly,,,TRUE
2026-06-03,Haiti,New Zealand,4,0,Friendly,,,TRUE
2026-06-03,DR Congo,Denmark,0,0,Friendly,,,TRUE
2026-06-03,Netherlands,Algeria,0,1,Friendly,,,TRUE
2026-06-02,Colombia,Costa Rica,3,1,Friendly,,,TRUE
2026-06-02,Canada,Uzbekistan,2,0,Friendly,,,TRUE
2026-06-02,Croatia,Belgium,0,2,Friendly,,,TRUE
2026-06-02,Morocco,Madagascar,4,0,Friendly,,,TRUE
2026-06-02,Wales,Ghana,1,1,Friendly,,,TRUE
2026-06-01,Austria,Tunisia,1,0,Friendly,,,TRUE
2026-06-01,Norway,Sweden,3,1,Friendly,,,TRUE
2026-06-01,Turkey,North Macedonia,4,0,Friendly,,,TRUE
2026-05-31,Ecuador,Saudi Arabia,2,1,Friendly,,,TRUE
2026-05-31,South Korea,Trinidad and Tobago,5,0,Friendly,,,TRUE
2026-05-31,Mexico,Australia,1,0,Friendly,,,TRUE
2026-05-31,Japan,Iceland,1,0,Friendly,,,TRUE
2026-05-31,Switzerland,Jordan,4,1,Friendly,,,TRUE
2026-05-31,Czech Republic,Kosovo,2,1,Friendly,,,TRUE
2026-05-31,Cape Verde,Serbia,3,0,Friendly,,,TRUE
2026-05-31,Germany,Finland,4,0,Friendly,,,TRUE
2026-05-31,United States,Senegal,3,2,Friendly,,,TRUE
2026-05-31,Brazil,Panama,6,2,Friendly,,,TRUE
2026-05-30,Scotland,Curaçao,4,1,Friendly,,,TRUE
2026-05-29,Iran,Gambia,3,1,Friendly,,,TRUE
2026-05-29,Iraq,Andorra,1,0,Friendly,,,TRUE
2026-05-29,South Africa,Nicaragua,0,0,Friendly,,,TRUE
2026-05-28,Egypt,Russia,1,0,Friendly,,,TRUE
2026-05-26,Morocco,Burundi,5,0,Friendly,,,TRUE
